YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,SPECIES_CD,density
2017,STTSTJ,AGRFDEEP,1,6029,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,1,6029,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6029,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6029,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6029,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,1,6029,SPA VIRI,6.5
2017,STTSTJ,AGRFDEEP,1,6073,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6073,CEP FULV,0
2017,STTSTJ,AGRFDEEP,1,6073,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,1,6073,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6073,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6073,LUT GRIS,3.5
2017,STTSTJ,AGRFDEEP,1,6073,OCY CHRY,11.5
2017,STTSTJ,AGRFDEEP,1,6073,SPA VIRI,0
2017,STTSTJ,AGRFDEEP,1,6134,BAL VETU,2
2017,STTSTJ,AGRFDEEP,1,6134,CEP FULV,3
2017,STTSTJ,AGRFDEEP,1,6134,EPI GUTT,2
2017,STTSTJ,AGRFDEEP,1,6134,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6134,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6134,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6134,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,1,6134,SPA VIRI,0
2017,STTSTJ,AGRFDEEP,1,6142,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6142,CEP FULV,0.5
2017,STTSTJ,AGRFDEEP,1,6142,EPI GUTT,1.5
2017,STTSTJ,AGRFDEEP,1,6142,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6142,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,1,6142,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6142,OCY CHRY,0.5
2017,STTSTJ,AGRFDEEP,1,6142,SPA VIRI,1.5
2017,STTSTJ,AGRFDEEP,1,6143,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6143,CEP FULV,0
2017,STTSTJ,AGRFDEEP,1,6143,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,1,6143,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,1,6143,LUT ANAL,0.5
2017,STTSTJ,AGRFDEEP,1,6143,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,1,6143,OCY CHRY,3.5
2017,STTSTJ,AGRFDEEP,1,6143,SPA VIRI,3.5
2017,STTSTJ,AGRFDEEP,1,6146,BAL VETU,0
2017,STTSTJ,AGRFDEEP,1,6146,CEP FULV,0.5
2017,STTSTJ,AGRFDEEP,1,6146,EPI GUTT,1
